Job Id,Job Title,Job Description,skills,experience,min_salary,max_salary,location,deadline
1089843540111562,digital marketing specialist,social media managers oversee an organizations social media presence they create and schedule content engage with followers and analyze social media metrics to drive brand awareness and engagement,social media platforms eg facebook twitter instagram content creation and scheduling social media analytics and insights community engagement paid social advertising,10.0,70000.0,1.0,Bashundhara,2025-02-05
398454096642776,web developer,frontend web developers design and implement user interfaces for websites ensuring they are visually appealing and userfriendly they collaborate with designers and backend developers to create seamless web experiences for users,html css javascript frontend frameworks eg react angular user experience ux,8.0,80000.0,0.6666666666666667,Banani,2025-02-15
481640072963533,operations manager,quality control managers establish and enforce quality standards within an organization they develop quality control processes perform inspections and implement corrective actions to maintain product or service quality,quality control processes and methodologies statistical process control spc root cause analysis and corrective action quality management systems eg iso compliance and regulatory knowledge,7.0,62000.0,0.1111111111111111,Banani,2025-02-01
688192671473044,network engineer,wireless network engineers design implement and maintain wireless network solutions they optimize wireless connectivity troubleshoot issues and ensure reliable and secure wireless communications,wireless network design and architecture wifi standards and protocols rf radio frequency planning and optimization wireless security protocols troubleshooting wireless network issues,8.0,67000.0,0.5555555555555556,Sylhet,2025-02-19
117057806156508,event manager,a conference manager coordinates and manages conferences meetings and events they plan logistics handle budgeting liaise with vendors and ensure the smooth execution of events catering to the needs and expectations of attendees,event planning conference logistics budget management vendor coordination marketing and promotion client relations,9.0,64000.0,0.4444444444444445,Agargaon,2025-02-02
116831420231957,software tester,a quality assurance analyst tests software and products to ensure they meet quality standards they identify defects report issues and work with development teams to resolve problems,quality assurance processes testing methodologies eg manual automated bug tracking and reporting test case development regression testing,10.0,60000.0,1.0,Uttara,2025-02-15
1292168246729889,teacher,a classroom teacher educates students in a specific subject or grade level they create lesson plans deliver instruction assess student progress and foster a positive learning environment,teaching pedagogy classroom management curriculum development student assessment differentiated instruction,9.0,100000.0,0.3333333333333333,Tangail,2025-02-12
1498778686197107,uxui designer,user interface designers focus on the visual and interactive aspects of digital interfaces they design layouts buttons and other elements to ensure a cohesive and visually appealing user interface,ui design principles and best practices graphic design tools eg adobe photoshop illustrator typography and color theory visual design and layout responsive design,5.0,90000.0,0.5555555555555556,Uttara,2025-02-18
1680293940995740,uxui designer,interaction designers specialize in designing user interactions within digital interfaces they create meaningful and engaging user experiences by considering user behaviors and system responses,interaction design principles user behavior and psychology wireframing and prototyping tools animation and microinteraction design collaborative design processes,7.0,80000.0,0.5555555555555556,Mirpur,2025-02-17
255627812588102,wedding planner,a wedding consultant assists couples in planning and coordinating their weddings helping them with vendor selection budget management and ensuring a seamless wedding day experience,wedding planning vendor coordination event management,7.0,60000.0,0.0,Bashundhara,2025-02-21
2696958764033354,qa analyst,performance testing specialists assess the performance of software applications by conducting load stress and scalability tests they identify bottlenecks optimize performance and ensure software can handle user demands effectively,performance testing load testing stress testing test scenarios performance monitoring benchmarking performance analysis,6.0,110000.0,0.7777777777777778,Agargaon,2025-02-16
1446194141960546,litigation attorney,family law attorneys deal with legal matters related to family relationships they handle cases like divorce child custody adoption and domestic disputes to provide legal guidance,family law divorce proceedings child custody mediation legal counseling court representation,4.0,70000.0,0.4444444444444445,Tejgaon,2025-02-21
1914121205954296,mechanical engineer,mechanical design engineers create and develop mechanical systems and components from concept to manufacturing ensuring functionality and safety,mechanical engineering cad software eg solidworks autocad finite element analysis product development prototyping,8.0,65000.0,0.5555555555555556,Bashundhara,2025-02-13
290761760113904,network administrator,protect an organizations computer networks and systems from security threats monitor network traffic and respond to incidents,network security protocols intrusion detection and prevention security incident response firewall administration vulnerability assessment security policies and procedures log analysis ethical hacking problemsolving communication skills attention to detail,7.0,57000.0,0.6666666666666667,Gulshan,2025-02-05
1627539131873813,account manager,a sales account manager is responsible for building and maintaining relationships with clients identifying their needs and proposing tailored solutions to achieve sales targets,account management sales strategy negotiation and closing skills,8.0,70000.0,0.7777777777777778,Panthapath,2025-02-12
2691974960988857,brand manager,a product brand manager focuses on promoting and managing the brand identity of specific products or product lines within a companys portfolio,product branding and marketing product lifecycle management crossfunctional team collaboration product launch planning market segmentation and targeting,4.0,80000.0,0.5555555555555556,Mohakhali,2025-02-03
2823887164112482,social worker,support students social and emotional wellbeing in schools collaborate with educators and connect families with resources,school social work principles student assessment and intervention special education laws individualized education plans ieps crisis management collaboration with educators family engagement advocacy empathy and communication documentation cultural competence licensing and certification,5.0,65000.0,0.0,Banani,2025-02-09
76902098772934,social media coordinator,create engaging and relevant content such as articles videos or social media posts to promote brands or products,content creation eg writing editing graphic design video production content marketing social media management seo optimization creative storytelling audience engagement analytics and reporting adaptability communication skills creativity,4.0,54000.0,0.5555555555555556,Mohakhali,2025-02-11
235216486127884,email marketing specialist,monitor and improve email deliverability rates troubleshoot delivery issues and maintain a clean email list,email deliverability best practices spam filter testing list hygiene blacklist monitoring email authentication eg spf dkim deliverability metrics analysis troubleshooting deliverability issues communication skills data analysis attention to detail,7.0,58000.0,0.5555555555555556,Dhanmondi,2025-02-20
407980927519454,hr generalist,hr coordinators assist in hr functions such as recruitment onboarding and employee record maintenance they often handle administrative tasks organize training programs and provide support to the hr department in various ways,human resources recruitment employee onboarding hris hr information systems record keeping communication skills,5.0,72000.0,0.5555555555555556,Cantonment,2025-02-04
940776147258900,legal assistant,provide administrative support to legal professionals manage schedules draft documents and handle correspondence,legal administrative tasks document management calendar and docketing transcription file organization communication with clients and courts knowledge of legal terminology attention to detail multitasking computer skills eg ms office,4.0,63000.0,0.2222222222222222,Sylhet,2025-02-14
1524311163188117,nurse practitioner,family nurse practitioners specialize in familycentered healthcare providing comprehensive medical care to individuals of all ages within a family context,family medicine health assessment pediatric care chronic disease management patient education,7.0,78000.0,0.4444444444444445,Panthapath,2025-02-10
2508133000944341,account director,account strategists work in advertising or marketing agencies managing client accounts they develop strategies to meet client goals oversee campaign execution and maintain client satisfaction by providing expert guidance and solutions,account management client relations marketing strategies campaign optimization data analysis communication skills,6.0,90000.0,0.888888888888889,Dhanmondi,2025-02-17
2808730603865187,software engineer,a backend developer is tasked with building and maintaining the serverside logic and database infrastructure of web applications they work on the core functionality data storage and server communication to ensure the application runs smoothly and efficiently,proficiency in one or more backend programming languages eg java python nodejs ruby api development database management sql or nosql server management and deployment security best practices knowledge of web frameworks eg express django,7.0,120000.0,0.2222222222222222,Sylhet,2025-02-24
2277355440844434,purchasing agent,a supply chain coordinator manages supply chain operations coordinates logistics and ensures the seamless flow of goods and materials throughout the supply chain network,supply chain logistics inventory management communication skills problemsolving vendor coordination,4.0,70000.0,0.0,Cantonment,2025-02-14
2263070284964014,purchasing agent,a supply chain coordinator manages supply chain operations coordinates logistics and ensures the seamless flow of goods and materials throughout the supply chain network,supply chain logistics inventory management communication skills problemsolving vendor coordination,8.0,75000.0,0.888888888888889,Tejgaon,2025-02-26
1504621983937621,sales consultant,sales consultants specialize in businesstobusiness sales they identify and target potential corporate clients negotiate contracts and build longterm relationships to drive sales growth in the market,sales businesstobusiness sales strategies lead generation sales negotiations client relationship building market research,5.0,68000.0,1.0,Mirpur,2025-02-20
2425661201998142,civil engineer,a structural engineer designs and analyzes the structural integrity of buildings bridges and other structures they ensure safety and compliance with engineering standards,structural engineering principles structural analysis and design software eg autocad building codes and standards project management structural integrity assessment,8.0,65000.0,0.4444444444444445,Cantonment,2025-02-27
1361459669383850,network security specialist,soc analysts work in security operations centers they monitor and respond to security incidents analyze threats and implement security protocols to protect an organizations assets,soc operations security incident response threat detection log analysis security tools eg idsips security alerts triage,5.0,92000.0,0.3333333333333333,Cantonment,2025-02-13
1355325262915901,ui developer,a frontend developer specializes in creating the user interface and user experience of websites or applications they code and design elements that users interact with directly,frontend web development html css javascript responsive design web performance optimization crossbrowser compatibility,8.0,70000.0,0.5555555555555556,Tejgaon,2025-02-05
2020637774150541,financial planner,assist clients with tax planning minimize tax liabilities and stay uptodate with tax laws and regulations,tax planning strategies tax law knowledge financial analysis retirement planning estate planning client relationship management tax optimization communication skills attention to detail tax software proficiency regulatory compliance,6.0,82000.0,0.5555555555555556,Cantonment,2025-02-20
419221709320780,event planner,event coordinators plan and execute various events including conferences parties and meetings managing logistics budgets and vendor relationships,event planning vendor coordination budget management marketing and promotion logistics,8.0,83000.0,0.5555555555555556,Mirpur,2025-02-16
619200804346093,psychologist,clinical psychologists diagnose and treat mental health disorders they conduct therapy sessions assessments and research to improve patients wellbeing,clinical psychology counseling skills assessment tools diagnostic skills empathy and listening skills,8.0,70000.0,0.7777777777777778,Banani,2025-02-05
2063768239629741,electrical designer,electrical engineers design and develop electrical systems and devices they work on projects such as power generation electronics and control systems for various industries,electrical engineering circuit design electronics autocad proficiency problemsolving,3.0,69000.0,0.5555555555555556,Mohakhali,2025-02-07
1889088294438825,electrical designer,lighting designers create lighting plans for architectural and artistic purposes they enhance spaces with lighting effects aesthetics and energyefficient lighting solutions,lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge,7.0,80000.0,0.2222222222222222,Agargaon,2025-02-07
981851940397954,data analyst,business intelligence analysts gather and analyze data to provide valuable insights to support decisionmaking within an organization they create reports dashboards and data visualizations to help stakeholders understand trends patterns and opportunities in the data,data analysis and visualization tools eg tableau power bi sql and database querying business intelligence concepts data modeling and reporting strong analytical and problemsolving skills datadriven decisionmaking,5.0,110000.0,0.888888888888889,Khilgaon,2025-02-01
3023207081599021,technical writer,content writers create written content for various platforms they produce articles blog posts and web content to inform educate or entertain audiences,writing skills content creation seo knowledge research skills grammar and proofreading,4.0,70000.0,0.0,Panthapath,2025-02-28
487916817418719,uxui designer,user interface designers focus on the visual and interactive aspects of digital interfaces they design layouts buttons and other elements to ensure a cohesive and visually appealing user interface,ui design principles and best practices graphic design tools eg adobe photoshop illustrator typography and color theory visual design and layout responsive design,5.0,80000.0,0.4444444444444445,Bashundhara,2025-02-18
1703785128114382,tax consultant,a personal tax consultant provides tax planning and preparation services to individuals they help clients optimize their tax situations while ensuring compliance with tax laws,tax law knowledge individual tax planning tax return preparation tax deductions and credits tax compliance irs regulations client relationship management communication skills attention to detail tax software proficiency,6.0,60000.0,0.7777777777777778,Tangail,2025-02-14
2812077440184777,software tester,an automation tester uses automated testing tools to verify the functionality and performance of software applications they create and execute automated test scripts,test automation tools eg selenium appium scripting languages eg python java test framework development continuous integration tools test data management,8.0,79000.0,0.888888888888889,Mohakhali,2025-02-06
1462699667162772,account executive,a sales account executive is responsible for acquiring and managing business accounts they identify sales opportunities negotiate contracts and meet revenue targets,sales strategies and tactics account management relationship building sales forecasting industry and product knowledge,11.0,91000.0,0.6666666666666667,Banani,2025-02-21
2149248180059910,systems administrator,it support specialists provide technical assistance to endusers troubleshooting hardware and software problems setting up equipment and maintaining it infrastructure,technical troubleshooting hardware and software support customer service problemsolving communication,10.0,85000.0,0.5555555555555556,Agargaon,2025-02-27
1191707058920608,account director,account strategists work in advertising or marketing agencies managing client accounts they develop strategies to meet client goals oversee campaign execution and maintain client satisfaction by providing expert guidance and solutions,account management client relations marketing strategies campaign optimization data analysis communication skills,4.0,88000.0,0.2222222222222222,Bashundhara,2025-02-13
1887042790868742,digital marketing specialist,social media managers oversee an organizations social media presence they create and schedule content engage with followers and analyze social media metrics to drive brand awareness and engagement,social media platforms eg facebook twitter instagram content creation and scheduling social media analytics and insights community engagement paid social advertising,9.0,70000.0,0.5555555555555556,Gazipur,2025-02-03
385983883133993,database administrator,a database developer designs develops and maintains databases they create efficient data structures write queries and ensure data security and integrity,database design and development sql and database querying data modeling programming languages eg java python data security and privacy regulations knowledge,7.0,77000.0,0.6666666666666667,Gazipur,2025-02-10
1624471339210844,research analyst,a social science researcher conducts research in fields such as sociology psychology or anthropology to study human behavior and social phenomena contributing to academic knowledge,social science research methods qualitative and quantitative data analysis survey design and implementation ethnographic research interviewing skills research ethics statistical software eg stata nvivo report writing communication skills critical thinking empathy,6.0,80000.0,1.0,Mirpur,2025-02-19
1373513885523551,data entry clerk,a record keeper is responsible for maintaining accurate records and databases ensuring data integrity and assisting in data retrieval when needed,records management data entry and retrieval attention to detail,4.0,99000.0,0.6666666666666667,Dhanmondi,2025-02-15
2828247805840851,registered nurse,a staff nurse provides patient care administers medications and collaborates with healthcare teams to ensure the wellbeing of patients in clinical settings,nursing care patient assessment medical knowledge,5.0,90000.0,0.4444444444444445,Mohakhali,2025-02-02
2283172037354283,tax consultant,an international tax consultant focuses on tax matters related to international business operations ensuring compliance with global tax laws and optimizing tax structures,international tax law knowledge transfer pricing crossborder tax planning tax treaties and agreements foreign tax credits international tax compliance transfer pricing documentation multinational tax strategies client relationship management communication skills tax software proficiency,4.0,60000.0,1.0,Gazipur,2025-02-17
1623435902000493,investment analyst,a risk analyst assesses and manages financial risks within an organization they use data analysis and modeling to evaluate potential risks and recommend mitigation strategies,risk assessment data analysis financial modeling risk management tools regulatory compliance knowledge,5.0,77000.0,0.7777777777777778,Mirpur,2025-02-07
